lag,avg_weight_low_z_hat,avg_weight_high_z_hat
122,0.004329944,0.004364286
121,0.00434743,0.004339225
120,0.004332701,0.0043459954
119,0.0043036942,0.0043562115
118,0.004279155,0.004396042
117,0.0042854846,0.004382558
116,0.0043453495,0.0043185824
115,0.0043865526,0.0042831297
114,0.004355387,0.0043113
113,0.004306857,0.004316483
112,0.0043130633,0.004397674
111,0.0042526526,0.0043904097
110,0.0043285666,0.0043059876
109,0.004393949,0.0042805546
108,0.0043272935,0.004336449
107,0.00434211,0.0042944797
106,0.0043470995,0.0043350724
105,0.0043352116,0.004319989
104,0.0043105967,0.0043462864
103,0.004297831,0.0043498133
102,0.0042971824,0.0043365387
101,0.0043196194,0.004342612
100,0.0043942938,0.004264011
99,0.004336398,0.0043701143
98,0.004318689,0.0043505267
97,0.0043183253,0.0043488494
96,0.0042471867,0.0043910053
95,0.004380233,0.0042884857
94,0.004319266,0.004322531
93,0.0043302733,0.0043370463
92,0.004325985,0.004315576
91,0.004322861,0.0043042293
90,0.004342965,0.0043126117
89,0.0043226993,0.0043684426
88,0.0043652165,0.0043374766
87,0.0043013757,0.004300709
86,0.004335193,0.004288896
85,0.004336947,0.004314556
84,0.004358667,0.004328091
83,0.004344807,0.0043332665
82,0.0042580348,0.0043789092
81,0.0043523447,0.0042804615
80,0.0042985794,0.0043619676
79,0.004335329,0.004363271
78,0.004330987,0.004367313
77,0.004350341,0.0042992085
76,0.004303847,0.0043640854
75,0.0043904874,0.0042874287
74,0.0042932555,0.0043259747
73,0.0043227165,0.0043027923
72,0.004331036,0.004305156
71,0.0043022376,0.0043448545
70,0.0043273848,0.0043706414
69,0.004284168,0.004364238
68,0.004317477,0.004332118
67,0.0043448666,0.00433201
66,0.004294351,0.0043566343
65,0.004367653,0.004299146
64,0.0043454813,0.0042984122
63,0.00438386,0.004279369
62,0.0043685907,0.0043163686
61,0.004327997,0.0043480885
60,0.0042618504,0.0044064117
59,0.0042813253,0.0043738224
58,0.004253146,0.004364136
57,0.004264582,0.0043618293
56,0.0044129966,0.004282567
55,0.0043243463,0.0043321657
54,0.0043313215,0.0043266066
53,0.0043297685,0.004289987
52,0.004320167,0.004330319
51,0.0043150424,0.0043193316
50,0.0043346817,0.0043308176
49,0.004327673,0.004310351
48,0.004272579,0.004353383
47,0.0042604394,0.00438044
46,0.0043118997,0.0043330877
45,0.0044232924,0.0042530117
44,0.0043164142,0.004329803
43,0.0043136817,0.0043075616
42,0.004351418,0.0042373263
41,0.004294377,0.004317019
40,0.004236962,0.004358681
39,0.004192706,0.004423224
38,0.0042371135,0.0043529263
37,0.0043309694,0.004288206
36,0.0043576355,0.004283867
35,0.0042577367,0.0043777237
34,0.0042487327,0.0043058237
33,0.0043411497,0.004250706
32,0.0043184734,0.0042934264
31,0.004340707,0.0042446093
30,0.0042672683,0.004410899
29,0.0042737303,0.004371566
28,0.0042561125,0.0043250024
27,0.0043260753,0.004278305
26,0.0043186303,0.0043146294
25,0.00435021,0.0043034866
24,0.004319021,0.0043093
23,0.0042572767,0.0043485197
22,0.004388826,0.0042380677
