portfolio,industry,annualized_contribution,monthly_t_stat,abs_contribution
CMM_equal_weight,综合,-0.00022433222557607745,-0.9227057803527338,0.00022433222557607745
CMM_equal_weight,商业贸易,0.00020865413830430097,0.9650408377680417,0.00020865413830430097
CMM_equal_weight,休闲服务,-0.00018731556745222702,-0.6986472346400932,0.00018731556745222702
CMM_equal_weight,钢铁,-0.0001841992983591814,-0.1526521428630944,0.0001841992983591814
CMM_equal_weight,轻工制造,0.0001237928836146998,0.11676289608881912,0.0001237928836146998
CMM_equal_weight,石油石化,0.00010638931652824058,0.24751355001613481,0.00010638931652824058
CMM_equal_weight,国防军工,9.541840155580574e-05,0.04706266607021588,9.541840155580574e-05
CMM_equal_weight,美容护理,8.822756007664439e-05,0.3711277822377088,8.822756007664439e-05
CMM_equal_weight,环保,8.749494249932315e-05,0.17550717269074154,8.749494249932315e-05
CMM_equal_weight,社会服务,-5.635316877937842e-05,-0.11436838009028014,5.635316877937842e-05
CMM_value_weight,电子,-0.031204885046435003,-2.312300019783695,0.031204885046435003
CMM_value_weight,银行,0.01196801282565782,1.285151373197363,0.01196801282565782
CMM_value_weight,计算机,-0.009923536541539255,-1.1462489287022928,0.009923536541539255
CMM_value_weight,非银金融,0.006798887169983465,1.7108905399887937,0.006798887169983465
CMM_value_weight,汽车,0.004355284586347845,1.0258812801208659,0.004355284586347845
CMM_value_weight,机械设备,0.004035888657888812,1.5251616681981206,0.004035888657888812
CMM_value_weight,化工,0.0036432688213303014,2.644085360156534,0.0036432688213303014
CMM_value_weight,传媒,-0.003629507367088923,-0.9338139763137958,0.003629507367088923
CMM_value_weight,电力设备,0.002450987022943126,0.3698234798638732,0.002450987022943126
CMM_value_weight,食品饮料,-0.0023875913849445937,-0.4337471504851283,0.0023875913849445937
CMM_value_weight,通信,0.002310947639995871,0.34155006509054164,0.002310947639995871
CMM_value_weight,建筑材料,0.0016946384758385526,3.0320924655474215,0.0016946384758385526
CMM_value_weight,医药生物,0.0015841088802404253,0.27736658098085987,0.0015841088802404253
CMM_value_weight,有色金属,0.001543752927105404,0.3188118096933113,0.001543752927105404
CMM_value_weight,电气设备,-0.0010314276035556173,-0.5413262734101688,0.0010314276035556173
CMM_value_weight,煤炭,-0.000880026607717962,-0.09952109750800574,0.000880026607717962
CMM_value_weight,基础化工,0.0007868490845570235,0.6675700402150297,0.0007868490845570235
CMM_value_weight,采掘,0.0007826006643219671,0.35939243744997884,0.0007826006643219671
CMM_value_weight,轻工制造,0.0007657246903485539,1.4547433600261153,0.0007657246903485539
CMM_value_weight,家用电器,0.0006155740453997713,0.8001901595636826,0.0006155740453997713
CMM_value_weight,房地产,0.0005739101216283593,0.18874150962247488,0.0005739101216283593
CMM_value_weight,石油石化,-0.000513784823730393,-0.2627495415912156,0.000513784823730393
CMM_value_weight,国防军工,0.000438564327375589,0.22077332509401018,0.000438564327375589
CMM_value_weight,商贸零售,0.00041433273092247674,0.8480761606762506,0.00041433273092247674
CMM_value_weight,纺织服装,-0.0003045952376370917,-1.8388544885477176,0.0003045952376370917
CMM_value_weight,钢铁,0.00022006698404384667,0.14217978218642477,0.00022006698404384667
CMM_value_weight,建筑装饰,0.00021078954347199792,0.2061685904258761,0.00021078954347199792
CMM_value_weight,休闲服务,-0.00019007448554026303,-0.21060403390736235,0.00019007448554026303
CMM_value_weight,公用事业,0.00017902109358652603,0.15820101311426646,0.00017902109358652603
CMM_value_weight,美容护理,0.00016244396238820183,0.4119050530365699,0.00016244396238820183
CMM_value_weight,纺织服饰,0.00013028981068764845,0.44146153126708615,0.00013028981068764845
CMM_value_weight,农林牧渔,0.00011147296808843569,0.08497284486312201,0.00011147296808843569
CMM_value_weight,社会服务,-9.141844824915345e-05,-0.2475673475229262,9.141844824915345e-05
CMM_value_weight,环保,7.956566931561121e-05,0.3160811164305505,7.956566931561121e-05
CMM_value_weight,商业贸易,4.148757151979099e-05,0.38397591897658334,4.148757151979099e-05
CMM_value_weight,综合,-5.290219360216567e-06,-0.04004998177773548,5.290219360216567e-06
